
Generated at: 2025/09/02 22:22:18
mirDIP version: 5.3.0.2.
Database version: 5.2.3.1



Gene Symbol     - 
Micro RNA       - hsa-miR-126-5p
Minimum Score   - Medium


Results (4872) 
Gene Symbol	Uniprot	Pseudogene	MicroRNA	Integrated Score	Number of Sources	Score Class	Sources
MCTS1	Q9ULC4		hsa-miR-126-5p	0.43798020722497	7	High	MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|MirSNPInTarget|MirTar2
ENPP5	Q9UJA9		hsa-miR-126-5p	0.437875191100741	9	High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|MirSNPInTarget|MirTar2|mirzag
C2orf69	Q8N8R5		hsa-miR-126-5p	0.437299661348178	8	High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|MirTar2|mirzag
ARL4C	P56559		hsa-miR-126-5p	0.436804324235068	8	High	Cupid|DIANA|MBStar|MirAncesTar|miranda_May_2021|MiRNATIP|MirTar2|mirzag
ZIC1	Q15915		hsa-miR-126-5p	0.436766232212466	8	High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MirSNPInTarget|mirzag|PACCMIT
NIBAN1	Q9BZQ8		hsa-miR-126-5p	0.436289430249065	8	High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|MirTar2|mirzag
MDH1	P40925		hsa-miR-126-5p	0.436111207123005	9	High	bitargeting_May_2021|MBStar|MirAncesTar|miranda_May_2021|mirbase|miRDB_v6|MiRNATIP|MirTar2|mirzag
PCBD2	Q9H0N5		hsa-miR-126-5p	0.435966378530589	6	High	MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MirTar2|mirzag
TNKS2	Q9H2K2		hsa-miR-126-5p	0.43580262291665	8	High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|MirTar2|mirzag
CA1	P00915		hsa-miR-126-5p	0.435751688051938	8	High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|MirTar2|mirzag
MBNL3	Q9NUK0		hsa-miR-126-5p	0.434928572342074	8	High	Cupid|DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|MirTar2
PWWP2A	Q96N64		hsa-miR-126-5p	0.433783170542025	8	High	DIANA|MBStar|MirAncesTar|miranda_May_2021|MiRNATIP|MirSNPInTarget|MirTar2|mirzag
ARL5A	Q9Y689		hsa-miR-126-5p	0.433526234061302	8	High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|MirTar2|mirzag
FBN1	P35555		hsa-miR-126-5p	0.433482817903188	8	High	Cupid|DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|mirzag
PPAT	Q06203		hsa-miR-126-5p	0.43301369064394	8	High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MirSNPInTarget|MirTar2|mirzag
TMEM41B	Q5BJD5		hsa-miR-126-5p	0.432634418512679	8	High	DIANA|MBStar|MirAncesTar|miranda_May_2021|mirbase|MiRNATIP|MirTar2|mirzag
DAPP1	Q9UN19		hsa-miR-126-5p	0.432458499743635	7	High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MirTar2|mirzag
KAT2B	Q92831		hsa-miR-126-5p	0.432311639271918	7	High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MirTar2|mirzag
MED13L	Q71F56		hsa-miR-126-5p	0.432266300218827	8	High	Cupid|DIANA|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|mirzag|PACCMIT
RP2	O75695		hsa-miR-126-5p	0.431712460347602	7	High	DIANA|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|MirTar2|mirzag
CLASP1	Q7Z460		hsa-miR-126-5p	0.43124557470246	10	High	Cupid|DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|mirzag|PACCMIT|RNA22
ZNF687	Q8N1G0		hsa-miR-126-5p	0.431231419684826	8	High	DIANA|MBStar|MirAncesTar|miranda_May_2021|mirbase|miRDB_v6|MirSNPInTarget|MirTar2
DMXL1	Q9Y485		hsa-miR-126-5p	0.431216215204561	8	High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|MirTar2|mirzag
NCOA7	Q8NI08		hsa-miR-126-5p	0.430996177690571	6	High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MirTar2
ADH4	P08319		hsa-miR-126-5p	0.430801922299311	7	High	MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MirSNPInTarget|MirTar2|mirzag
ATXN1L	P0C7T5		hsa-miR-126-5p	0.430795281411979	7	High	Cupid|DIANA|MBStar|miranda_May_2021|MiRNATIP|MirTar2|mirzag
NCOA6	Q14686		hsa-miR-126-5p	0.430306190468976	10	High	Cupid|DIANA|MBStar|MirAncesTar|miranda_May_2021|mirbase|MiRNATIP|MirSNPInTarget|mirzag|RNA22
MPC1	Q9Y5U8		hsa-miR-126-5p	0.430228218103519	10	High	DIANA|MBStar|MirAncesTar|miranda_May_2021|mirbase|miRDB_v6|MiRNATIP|MirTar2|mirzag|PACCMIT
TUBGCP4	Q9UGJ1		hsa-miR-126-5p	0.429621151897732	6	High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP
CNTN1	Q12860		hsa-miR-126-5p	0.429512831479765	5	High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6
EIF4A2	Q14240		hsa-miR-126-5p	0.428710703672022	7	High	DIANA|MirAncesTar|miranda_May_2021|miRDB_v6|MirTar2|mirzag|PACCMIT
UHRF1BP1L	A0JNW5		hsa-miR-126-5p	0.428110210068378	7	High	Cupid|DIANA|MirAncesTar|miranda_May_2021|MirTar2|mirzag|PACCMIT
MRPL42	Q9Y6G3		hsa-miR-126-5p	0.427175168280849	8	High	DIANA|MBStar|MirAncesTar|miranda_May_2021|mirbase|MiRNATIP|MirTar2|mirzag
TBL1XR1	Q9BZK7		hsa-miR-126-5p	0.426996377842292	8	High	Cupid|DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|MirTar2
CHUK	O15111		hsa-miR-126-5p	0.426857892873123	8	High	Cupid|DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MirTar2|mirzag
PTPN21	Q16825		hsa-miR-126-5p	0.426478413061602	8	High	MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|MirTar2|mirzag|RNA22
ABRA	Q8N0Z2		hsa-miR-126-5p	0.426365110861664	7	High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MirTar2|mirzag
ZNF695	Q8IW36		hsa-miR-126-5p	0.426201043258188	6	High	DIANA|MirAncesTar|miranda_May_2021|miRDB_v6|MirTar2|mirzag
NHSL1	Q5SYE7		hsa-miR-126-5p	0.42613100532803	9	High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|MirSNPInTarget|MirTar2|mirzag
CTDSPL2	Q05D32		hsa-miR-126-5p	0.425467517205145	7	High	Cupid|DIANA|MBStar|MirAncesTar|miranda_May_2021|mirzag|PACCMIT
FAM189A1	O60320		hsa-miR-126-5p	0.425202659331305	7	High	Cupid|DIANA|MirAncesTar|miranda_May_2021|MiRNATIP|MirTar2|PACCMIT
ODAPH	Q17RF5		hsa-miR-126-5p	0.424864449687054	8	High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MirSNPInTarget|MirTar2|mirzag
MEX3A	A1L020		hsa-miR-126-5p	0.424712721823755	5	High	Cupid|MirAncesTar|miranda_May_2021|miRDB_v6|MirTar2
TMED5	Q9Y3A6		hsa-miR-126-5p	0.424622569813072	8	High	DIANA|MBStar|MirAncesTar|miranda_May_2021|MiRNATIP|MirSNPInTarget|MirTar2|mirzag
MICU3	Q86XE3		hsa-miR-126-5p	0.424557613200029	8	High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MirSNPInTarget|MirTar2|mirzag
ANKRD33B	A6NCL7		hsa-miR-126-5p	0.424245837185393	8	High	MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MirSNPInTarget|MirTar2|mirzag|PITA_May_2021
PLEKHB2	Q96CS7		hsa-miR-126-5p	0.424199505796818	8	High	Cupid|DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MirTar2|mirzag
HMBOX1	Q6NT76		hsa-miR-126-5p	0.423442294179328	9	High	Cupid|DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|mirzag|PACCMIT
ANTXR2	P58335		hsa-miR-126-5p	0.423110193983251	8	High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|MirTar2|mirzag
SYT14	Q8NB59		hsa-miR-126-5p	0.423088480815873	10	High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|MirSNPInTarget|MirTar2|mirzag|RNA22
SLC4A10	Q6U841		hsa-miR-126-5p	0.422933978040066	8	High	Cupid|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|MirTar2|mirzag
FGFRL1	Q8N441		hsa-miR-126-5p	0.422588872419079	8	High	DIANA|MBStar|MirAncesTar|miranda_May_2021|MiRNATIP|MirTar2|mirzag|PACCMIT
OTUD4	Q01804		hsa-miR-126-5p	0.422299677292488	7	High	DIANA|MBStar|MirAncesTar|miranda_May_2021|MiRNATIP|MirTar2|mirzag
FBRSL1	Q9HCM7		hsa-miR-126-5p	0.421693615965641	8	High	Cupid|DIANA|MBStar|MirAncesTar|miranda_May_2021|MiRNATIP|MirTar2|mirzag
NKD1	Q969G9		hsa-miR-126-5p	0.421636792232535	9	High	Cupid|DIANA|MBStar|MirAncesTar|miranda_May_2021|MiRNATIP|mirzag|PACCMIT|RNA22
MYT1	Q01538		hsa-miR-126-5p	0.42148532715353	8	High	Cupid|DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MirTar2|mirzag
SGPP1	Q9BX95		hsa-miR-126-5p	0.421475032069265	7	High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MirTar2|mirzag
PNLIPRP3	Q17RR3		hsa-miR-126-5p	0.421399710356335	7	High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MirTar2|mirzag
IPO7	O95373		hsa-miR-126-5p	0.421159686160899	9	High	Cupid|DIANA|MBStar|MirAncesTar|miranda_May_2021|mirbase|MiRNATIP|MirSNPInTarget|mirzag
NUP43	Q8NFH3		hsa-miR-126-5p	0.420826626502426	8	High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|MirTar2|mirzag
SOX5	P35711		hsa-miR-126-5p	0.418767925310923	7	High	Cupid|DIANA|MBStar|MirAncesTar|miranda_May_2021|MiRNATIP|mirzag
PNPLA8	Q9NP80		hsa-miR-126-5p	0.418267549304017	8	High	Cupid|DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MirTar2|mirzag
NDUFAF3	Q9BU61		hsa-miR-126-5p	0.418231488055565	9	High	DIANA|MBStar|MirAncesTar|miranda_May_2021|mirbase|miRDB_v6|MirSNPInTarget|MirTar2|mirzag
MCU	Q8NE86		hsa-miR-126-5p	0.41819678881857	10	High	Cupid|DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|MirSNPInTarget|MirTar2|mirzag
BRAF	P15056		hsa-miR-126-5p	0.417582533556494	9	High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|MirTar2|mirzag|RNA22
SETD5	Q9C0A6		hsa-miR-126-5p	0.417447451362595	8	High	bitargeting_May_2021|Cupid|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|MirTar2
PHACTR2	O75167		hsa-miR-126-5p	0.417345920384276	7	High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|MirTar2
ZFC3H1	O60293		hsa-miR-126-5p	0.417309084527021	8	High	Cupid|DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MirTar2|PACCMIT
GRIA2	P42262		hsa-miR-126-5p	0.41713939823462	8	High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MirTar2|mirzag|PACCMIT
SULT6B1	Q6IMI4		hsa-miR-126-5p	0.416397696365645	6	High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MirTar2
PTPRB	P23467		hsa-miR-126-5p	0.416308475224014	8	High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|mirzag|PACCMIT
TFPI	P10646		hsa-miR-126-5p	0.416233097215943	9	High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|MirSNPInTarget|MirTar2|mirzag
SOX13	Q9UN79		hsa-miR-126-5p	0.416073644883746	8	High	Cupid|DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MirTar2|mirzag
BRD3	Q15059		hsa-miR-126-5p	0.415847614756545	8	High	Cupid|DIANA|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|MirTar2|mirzag
CRNKL1	Q9BZJ0		hsa-miR-126-5p	0.415838317644069	9	High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|MirSNPInTarget|MirTar2|mirzag
FAM76B	Q5HYJ3		hsa-miR-126-5p	0.415567663244377	7	High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MirTar2|mirzag
ARHGAP32	A7KAX9		hsa-miR-126-5p	0.415062953804358	9	High	bitargeting_May_2021|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|MirTar2|mirzag|RNA22
C21orf91	Q9NYK6		hsa-miR-126-5p	0.414907839361735	8	High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|MirTar2|mirzag
BTAF1	O14981		hsa-miR-126-5p	0.414868830906086	9	High	Cupid|DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|MirSNPInTarget|mirzag
GLIPR1	P48060		hsa-miR-126-5p	0.414709135594909	8	High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|MirTar2|mirzag
CSRNP3	Q8WYN3		hsa-miR-126-5p	0.414664640412124	6	High	DIANA|MBStar|MirAncesTar|miranda_May_2021|MirTar2|mirzag
GSK3B	P49841		hsa-miR-126-5p	0.414450581492115	7	High	Cupid|DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MirTar2
NCALD	P61601		hsa-miR-126-5p	0.41406210503441	9	High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MirSNPInTarget|MirTar2|mirzag|PACCMIT
RAPGEF2	Q9Y4G8		hsa-miR-126-5p	0.413827621105471	7	High	Cupid|DIANA|MBStar|MirAncesTar|miranda_May_2021|mirzag|PACCMIT
DVL3	Q92997		hsa-miR-126-5p	0.41367536830801	7	High	Cupid|DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|PACCMIT
DICER1	Q9UPY3		hsa-miR-126-5p	0.413557237242976	7	High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|mirzag|PACCMIT
MCTP2	Q6DN12		hsa-miR-126-5p	0.413118343119748	7	High	Cupid|DIANA|MBStar|MirAncesTar|miranda_May_2021|MirTar2|mirzag
DPP8	Q6V1X1		hsa-miR-126-5p	0.41299893383836	9	High	Cupid|DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|MirTar2|mirzag
CYP39A1	Q9NYL5		hsa-miR-126-5p	0.412561326693656	8	High	DIANA|MBStar|MirAncesTar|miranda_May_2021|mirbase|miRDB_v6|MirTar2|mirzag
ASPH	Q12797		hsa-miR-126-5p	0.412177307393949	8	High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|MirTar2|mirzag
PGM3	O95394		hsa-miR-126-5p	0.41208316871807	7	High	DIANA|MBStar|MirAncesTar|miranda_May_2021|mirbase|MirTar2|mirzag
PLA2G12A	Q9BZM1		hsa-miR-126-5p	0.411957835183743	9	High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|MirSNPInTarget|MirTar2|mirzag
ALCAM	Q13740		hsa-miR-126-5p	0.411883431152367	8	High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MirSNPInTarget|mirzag|PACCMIT
GLRA2	P23416		hsa-miR-126-5p	0.41184364915648	8	High	DIANA|MBStar|MirAncesTar|miranda_May_2021|MiRNATIP|MirTar2|mirzag|PACCMIT
EFCAB7	A8K855		hsa-miR-126-5p	0.41159436656177	7	High	DIANA|MirAncesTar|miranda_May_2021|miRDB_v6|MirSNPInTarget|MirTar2|mirzag
PITPNB	P48739		hsa-miR-126-5p	0.411434651196616	8	High	Cupid|DIANA|MBStar|MirAncesTar|miranda_May_2021|MirTar2|mirzag|PACCMIT
ADGRL2	O95490		hsa-miR-126-5p	0.411074505766521	8	High	Cupid|DIANA|MBStar|MirAncesTar|miranda_May_2021|MiRNATIP|MirTar2|mirzag
ANK3	Q12955		hsa-miR-126-5p	0.410992039226516	7	High	Cupid|MBStar|MirAncesTar|miranda_May_2021|mirbase|miRDB_v6|mirzag
PDZRN4	Q6ZMN7		hsa-miR-126-5p	0.410878053424329	8	High	Cupid|DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MirTar2|mirzag
FGF2	P09038		hsa-miR-126-5p	0.41085485407586	10	High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|MirSNPInTarget|MirTar2|mirzag|RNA22
APC	P25054		hsa-miR-126-5p	0.410796470399327	9	High	bitargeting_May_2021|Cupid|DIANA|MBStar|MirAncesTar|miranda_May_2021|MiRNATIP|MirSNPInTarget|mirzag
FAM8A1	Q9UBU6		hsa-miR-126-5p	0.410789914601749	8	High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|MirTar2|mirzag
KLF17	Q5JT82		hsa-miR-126-5p	0.410632980585961	8	High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MirSNPInTarget|MirTar2|mirzag
CFAP91	Q7Z4T9		hsa-miR-126-5p	0.410446186558597	7	High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MirTar2|mirzag
SRRM1	Q8IYB3		hsa-miR-126-5p	0.410327740569571	8	High	Cupid|DIANA|MBStar|MirAncesTar|miranda_May_2021|MiRNATIP|mirzag|PACCMIT
ZPLD1	Q8TCW7		hsa-miR-126-5p	0.409556613266541	7	High	Cupid|DIANA|MBStar|MirAncesTar|miranda_May_2021|MirTar2|mirzag
PIAS2	O75928		hsa-miR-126-5p	0.409054496387451	8	High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|MirTar2|mirzag
ST8SIA1	Q92185		hsa-miR-126-5p	0.40851461113612	8	High	bitargeting_May_2021|DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MirTar2|mirzag
CAMK4	Q16566		hsa-miR-126-5p	0.407651988706975	8	High	DIANA|MBStar|MirAncesTar|miranda_May_2021|mirbase|miRDB_v6|MiRNATIP|mirzag
ELK4	P28324		hsa-miR-126-5p	0.407048644509354	7	High	bitargeting_May_2021|DIANA|MBStar|MirAncesTar|miranda_May_2021|MirTar2|mirzag
NR1D2	Q14995		hsa-miR-126-5p	0.406587828161745	8	High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|MirTar2|mirzag
RALGPS2	Q86X27		hsa-miR-126-5p	0.406529516335593	8	High	bitargeting_May_2021|DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MirTar2|mirzag
ARF6	P62330		hsa-miR-126-5p	0.406435144707964	8	High	DIANA|MBStar|miranda_May_2021|miRDB_v6|MiRNATIP|MirTar2|mirzag|PACCMIT
RPRD1A	Q96P16		hsa-miR-126-5p	0.406374263724682	8	High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|MirTar2|mirzag
TENT4B	Q8NDF8		hsa-miR-126-5p	0.40594629242978	8	High	Cupid|DIANA|MBStar|MirAncesTar|miranda_May_2021|MiRNATIP|MirTar2|mirzag
MAPK9	P45984		hsa-miR-126-5p	0.405861009994623	7	High	DIANA|MBStar|MirAncesTar|miranda_May_2021|MirSNPInTarget|MirTar2|mirzag
EFR3A	Q14156		hsa-miR-126-5p	0.405705280477945	7	High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MirTar2|mirzag
USP3	Q9Y6I4		hsa-miR-126-5p	0.405645253920676	7	High	Cupid|DIANA|MBStar|MirAncesTar|miranda_May_2021|mirzag|PACCMIT
KCNMB3	Q9NPA1		hsa-miR-126-5p	0.405596513532438	8	High	DIANA|MBStar|MirAncesTar|miranda_May_2021|mirbase|MirSNPInTarget|MirTar2|mirzag
RNF138	Q8WVD3		hsa-miR-126-5p	0.405486986092909	8	High	Cupid|DIANA|MBStar|MirAncesTar|miranda_May_2021|MiRNATIP|mirzag|PACCMIT
RHOBTB3	O94955		hsa-miR-126-5p	0.405312903887583	8	High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|MirTar2|mirzag
PCNX1	Q96RV3		hsa-miR-126-5p	0.404891402957404	8	High	bitargeting_May_2021|DIANA|MBStar|MirAncesTar|miranda_May_2021|MiRNATIP|MirTar2|mirzag
HIPK2	Q9H2X6		hsa-miR-126-5p	0.404830154492996	7	High	DIANA|MBStar|MirAncesTar|miranda_May_2021|MiRNATIP|MirTar2|mirzag
TECPR2	O15040		hsa-miR-126-5p	0.404610826188369	7	High	DIANA|MBStar|MirAncesTar|miranda_May_2021|MiRNATIP|MirTar2|mirzag
JAG1	P78504		hsa-miR-126-5p	0.404507725317554	8	High	Cupid|DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|mirzag|PACCMIT
CEPT1	Q9Y6K0		hsa-miR-126-5p	0.404481943676098	9	High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|MirTar2|mirzag|PACCMIT
RINL	Q6ZS11		hsa-miR-126-5p	0.404415193603394	7	High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MirTar2|mirzag
LONRF3	Q496Y0		hsa-miR-126-5p	0.404411210902894	7	High	Cupid|DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|mirzag
ZWILCH	Q9H900		hsa-miR-126-5p	0.404121078120709	7	High	DIANA|MBStar|MirAncesTar|miranda_May_2021|MirTar2|mirzag|PACCMIT
DLK1	P80370		hsa-miR-126-5p	0.404046683871422	7	High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MirTar2|PACCMIT
IFI44	Q8TCB0		hsa-miR-126-5p	0.404038432072855	8	High	MBStar|MirAncesTar|miranda_May_2021|mirbase|miRDB_v6|MirSNPInTarget|MirTar2|mirzag
UBE2W	Q96B02		hsa-miR-126-5p	0.403907976525542	7	High	bitargeting_May_2021|DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MirSNPInTarget
WDR35	Q9P2L0		hsa-miR-126-5p	0.403631850458741	6	High	DIANA|MBStar|MirAncesTar|miranda_May_2021|MirTar2|mirzag
PGC	P20142		hsa-miR-126-5p	0.403420213119626	7	High	DIANA|MBStar|MirAncesTar|miranda_May_2021|mirbase|MirTar2|PACCMIT
NADK2	Q4G0N4		hsa-miR-126-5p	0.403340796665519	9	High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|MirSNPInTarget|MirTar2|mirzag
SLC26A4	O43511		hsa-miR-126-5p	0.403080067543706	7	High	DIANA|MBStar|MirAncesTar|miranda_May_2021|MiRNATIP|MirTar2|mirzag
CREB1	P16220		hsa-miR-126-5p	0.402665891087678	8	High	DIANA|MBStar|MirAncesTar|miranda_May_2021|MiRNATIP|MirSNPInTarget|MirTar2|mirzag
CACNA1A	O00555		hsa-miR-126-5p	0.401887427179249	8	High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MirSNPInTarget|MirTar2|mirzag
UTRN	P46939		hsa-miR-126-5p	0.401775585990798	7	High	DIANA|MBStar|MirAncesTar|miranda_May_2021|MirSNPInTarget|MirTar2|mirzag
TBC1D20	Q96BZ9		hsa-miR-126-5p	0.401661439117001	9	High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|MirSNPInTarget|MirTar2|mirzag
TACO1	Q9BSH4		hsa-miR-126-5p	0.401574404700213	7	High	DIANA|MirAncesTar|miranda_May_2021|mirbase|miRDB_v6|MirSNPInTarget|PACCMIT
CRPPA	A4D126		hsa-miR-126-5p	0.40143383881783	7	High	DIANA|MBStar|MirAncesTar|miranda_May_2021|MirSNPInTarget|MirTar2|mirzag
THAP3	Q8WTV1		hsa-miR-126-5p	0.401404794372369	6	High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MirTar2
NCOR1	O75376		hsa-miR-126-5p	0.400887709550124	9	High	DIANA|MBStar|MirAncesTar|miranda_May_2021|mirbase|miRDB_v6|MiRNATIP|MirTar2|mirzag
GPBP1L1	Q9HC44		hsa-miR-126-5p	0.400229671156902	7	High	Cupid|DIANA|MBStar|MirAncesTar|miranda_May_2021|mirzag|PACCMIT
GUCY1A2	P33402		hsa-miR-126-5p	0.400012546915584	6	High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP
EIF2A	Q9BY44		hsa-miR-126-5p	0.399983872564706	8	High	DIANA|MBStar|MirAncesTar|miranda_May_2021|mirbase|MiRNATIP|MirTar2|mirzag
MINAR1	Q9UPX6		hsa-miR-126-5p	0.399548610776312	8	High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|MirTar2|mirzag
NEGR1	Q7Z3B1		hsa-miR-126-5p	0.399476336483635	7	High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MirTar2|mirzag
PROCR	Q9UNN8		hsa-miR-126-5p	0.399385994685032	6	High	DIANA|MirAncesTar|miranda_May_2021|mirbase|miRDB_v6|MirTar2
PDGFRA	P16234		hsa-miR-126-5p	0.39900201459717	8	High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|MirTar2|mirzag
C5orf51	A6NDU8		hsa-miR-126-5p	0.398898590105994	7	High	DIANA|MBStar|MirAncesTar|miranda_May_2021|MiRNATIP|MirTar2|mirzag
EXD2	Q9NVH0		hsa-miR-126-5p	0.398827072437594	9	High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|MirSNPInTarget|MirTar2|mirzag
LRP1B	Q9NZR2		hsa-miR-126-5p	0.398669273383432	8	High	Cupid|DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MirSNPInTarget|MirTar2
SH3TC2	Q8TF17		hsa-miR-126-5p	0.398633125597441	6	High	MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|MirTar2
MPP7	Q5T2T1		hsa-miR-126-5p	0.39844996110093	9	High	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|MirTar2|mirzag|RNA22
